JDtimes,observed fluxes,observed uncertainties
21.37162900000021,28700.0,6.81
21.39206100000001,28800.0,6.81
21.41249199999993,29800.0,6.81
21.432924000000185,31000.0,6.81
21.45335599999998,31800.0,6.81
21.473786999999906,32000.0,6.81
21.49421900000016,32100.0,6.81
21.51465099999996,32200.0,6.81
21.535081999999875,32200.0,6.81
21.55551400000013,32200.0,6.81
21.575945999999927,32000.0,6.8
21.596377000000306,31700.0,6.8
21.616809000000107,31400.0,6.8
21.637240999999904,31100.0,6.8
21.65767200000027,30800.0,6.8
21.678104000000076,30300.0,6.8
21.69853599999988,27400.0,6.8
21.718967000000248,22300.0,6.8
21.739399000000052,16800.0,6.8
21.759831000000304,16000.0,6.8
21.78026200000022,20800.0,6.8
21.800694000000018,26200.0,6.8
21.82112600000028,29700.0,6.8
21.841558000000077,30400.0,6.8
21.861988999999994,30700.0,6.8
21.88242100000025,30900.0,6.8
21.902853000000054,31000.0,6.8
21.923283999999967,31100.0,6.8
21.94371600000023,31200.0,6.8
21.964148000000023,31000.0,6.8
22.127601000000137,27200.0,6.8
22.127601000000137,27200.0,6.8
22.14803299999994,27900.0,6.8
22.168464000000316,29200.0,6.8
22.188896000000113,30100.0,6.8
22.209327999999914,30600.0,6.8
22.229760000000173,30800.0,6.8
22.250191000000086,30900.0,6.8
22.270622999999887,31100.0,6.8
22.291055000000142,31100.0,6.8
22.31148600000006,31100.0,6.8
22.331918000000314,31000.0,6.8
22.352350000000115,30900.0,6.8
22.372781000000032,30600.0,6.8
22.39321300000029,30300.0,6.8
22.413645000000084,30000.0,6.8
22.434076000000005,28400.0,6.8
22.454508000000263,24200.0,6.79
22.474940000000057,18600.0,6.79
22.495370999999977,15200.0,6.79
22.515803000000233,18100.0,6.79
22.536235000000033,23800.0,6.79
22.556665999999947,28300.0,6.79
22.57709800000021,30100.0,6.79
22.59753000000001,30400.0,6.79
22.617960999999923,30700.0,6.79
22.638393000000182,30900.0,6.79
22.658824999999982,31200.0,6.79
22.679255999999896,31300.0,6.79
22.699688000000148,31300.0,6.79
22.720119999999948,31300.0,6.79
22.74055200000021,31200.0,6.79
22.760983000000124,30900.0,6.79
22.781414999999924,30800.0,6.79
22.80184700000018,30400.0,6.79
22.822278000000097,29400.0,6.79
22.842709999999894,28200.0,6.79
22.863142000000156,27500.0,6.79
22.863142000000156,27500.0,6.79
22.883573000000073,27700.0,6.79
22.904005000000325,28900.0,6.79
22.924437000000125,30100.0,6.79
22.94486800000004,30900.0,6.79
23.108322000000047,31200.0,6.79
23.12875299999996,31100.0,6.79
23.149185000000216,30900.0,6.79
23.169617000000013,30300.0,6.79
23.19004799999993,27100.0,6.79
23.210480000000192,21700.0,6.79
23.23091199999999,16500.0,6.79
23.251342999999906,16600.0,6.79
23.27177500000016,22000.0,6.79
23.292206999999962,27400.0,6.79
23.312637999999883,30600.0,6.79
23.333070000000127,31200.0,6.79
23.353501999999928,31500.0,6.79
23.373933000000306,31800.0,6.78
23.39436500000011,32000.0,6.78
23.414796999999908,32200.0,6.78
23.435229000000163,32300.0,6.78
23.455660000000076,32300.0,6.78
23.47609199999988,32200.0,6.78
23.49652400000014,32000.0,6.78
23.516955000000053,31900.0,6.78
23.53738700000031,31600.0,6.78
23.55781900000011,30900.0,6.78
23.578250000000025,29700.0,6.78
23.59868200000028,28500.0,6.78
23.619114000000078,28300.0,6.78
23.619114000000078,28300.0,6.78
23.639545000000002,29200.0,6.78
23.659977000000247,30400.0,6.78
23.680409000000054,31500.0,6.78
23.700839999999967,31900.0,6.78
23.72127200000023,32100.0,6.78
23.741704000000034,32300.0,6.78
23.762134999999947,32400.0,6.78
23.7825670000002,32500.0,6.78
23.802999,32400.0,6.78
23.823429999999924,32300.0,6.78
23.843862000000172,32100.0,6.78
23.864293999999965,31800.0,6.78
23.88472499999989,31500.0,6.78
23.905157000000145,31100.0,6.78
23.92558899999995,29000.0,6.78
23.94602000000032,24400.0,6.78
23.966452000000118,18400.0,6.78
23.986883999999925,15600.0,6.78
24.00731500000029,19200.0,6.78
24.02774700000009,24700.0,6.78
24.04817899999989,28800.0,6.78
24.068611000000143,30200.0,6.78
24.089042000000067,30400.0,6.78
24.10947400000032,30500.0,6.78
24.12990600000012,30700.0,6.78
24.15033700000004,30800.0,6.78
24.17076900000029,30900.0,6.77
24.191201000000092,30900.0,6.77
24.21163200000001,30800.0,6.77
24.232064000000268,30700.0,6.77
24.252496000000068,30500.0,6.77
24.27292699999998,30300.0,6.77
24.293359000000237,29900.0,6.77
24.313791000000037,28800.0,6.77
24.33422199999995,27500.0,6.77
24.35465400000021,26800.0,6.77
24.35465400000021,26800.0,6.77
24.37508600000001,27000.0,6.77
24.395516999999927,28000.0,6.77
24.415949000000186,29000.0,6.77
24.5794020000003,30600.0,6.77
24.5998340000001,30400.0,6.77
24.6202659999999,30200.0,6.77
24.640697000000273,30100.0,6.77
24.661129000000077,29300.0,6.77
24.681560999999878,25800.0,6.77
24.70199200000025,20400.0,6.77
24.722424000000053,15800.0,6.77
24.7428560000003,16900.0,6.77
24.76328700000022,22400.0,6.77
24.78371900000002,27500.0,6.77
24.80415100000027,30200.0,6.77
24.82458200000019,30700.0,6.77
24.845013999999992,31100.0,6.77
24.865446000000247,31300.0,6.77
24.88587700000016,31600.0,6.77
24.90630899999997,31800.0,6.77
25.02889899999991,31400.0,6.77
25.090193999999887,28300.0,6.77
25.11062600000014,28200.0,6.77
25.11062600000014,28200.0,6.77
25.13105700000005,29000.0,6.77
25.15148900000031,30200.0,6.77
25.17192100000011,31100.0,6.77
25.19235200000003,31300.0,6.77
25.212784000000287,31400.0,6.77
25.233216000000088,31500.0,6.77
25.253647,31600.0,6.77
25.274079000000253,31600.0,6.77
25.294511000000053,31600.0,6.77
25.314941999999967,31400.0,6.77
25.33537400000023,31200.0,6.77
25.355806000000033,30900.0,6.77
25.376236999999946,30600.0,6.77
25.396669000000202,30200.0,6.77
25.417101,27800.0,6.77
25.437531999999923,22800.0,6.77
25.45796400000017,17200.0,6.77
25.478395999999968,15400.0,6.77
25.498826999999892,19700.0,6.77
25.519259000000147,25200.0,6.77
25.539690999999948,28900.0,6.77
25.560123000000203,30000.0,6.77
25.58055400000012,30200.0,6.77
25.600985999999924,30300.0,6.77
25.621418000000176,30500.0,6.77
25.64184900000009,30600.0,6.77
25.80530300000009,28100.0,6.77
25.82573400000001,26800.0,6.77
25.84616600000027,26300.0,6.77
25.84616600000027,26300.0,6.77
25.86659800000007,26600.0,6.77
25.887028999999984,27600.0,6.77
26.050482999999986,31600.0,6.76
26.070913999999906,31600.0,6.76
26.09134600000016,31400.0,6.76
26.111777999999962,31100.0,6.76
26.132208999999875,30900.0,6.76
26.152641000000127,29700.0,6.76
26.173072999999928,25700.0,6.76
26.193504000000306,20000.0,6.76
26.213936000000103,15900.0,6.76
26.234367999999904,18000.0,6.76
26.254799000000283,23800.0,6.76
26.275231000000076,28700.0,6.76
26.29566299999988,31100.0,6.76
26.31609400000025,31500.0,6.76
26.336526000000053,31800.0,6.76
26.356956999999966,32100.0,6.76
26.377389000000218,32300.0,6.76
26.397821000000018,32500.0,6.76
26.418251999999942,32500.0,6.76
26.438684000000194,32500.0,6.76
26.459115999999995,32300.0,6.76
26.479548000000246,32100.0,6.76
26.49997900000017,32000.0,6.76
26.520410999999967,31600.0,6.76
26.54084300000023,30700.0,6.76
26.56127400000014,29400.0,6.76
26.581705999999944,28500.0,6.76
26.581705999999944,28500.0,6.76
26.602138000000195,28600.0,6.76
26.62256900000011,29600.0,6.76
26.643000999999913,30800.0,6.76
26.663433000000172,31600.0,6.76
26.683864000000085,31900.0,6.76
26.70429599999989,32000.0,6.76
26.724728000000137,32200.0,6.76
26.74515900000005,32300.0,6.76
26.765591000000313,32300.0,6.76
26.786023000000114,32200.0,6.76
26.806454000000034,32100.0,6.76
26.82688600000029,31900.0,6.76
26.84731800000009,31600.0,6.76
26.867749000000003,31300.0,6.76
26.888181000000262,30900.0,6.76
26.908613000000056,28000.0,6.76
26.929043999999976,22700.0,6.76
26.949476000000228,17200.0,6.76
26.969908000000032,16400.0,6.76
27.051633999999925,31400.0,6.76
27.072066000000177,31700.0,6.76
27.092497999999978,32100.0,6.76
27.11292899999989,32300.0,6.76
27.133361000000146,32500.0,6.76
27.15379200000007,32600.0,6.76
27.17422400000032,32600.0,6.76
27.194656000000123,32500.0,6.76
27.21508700000004,32400.0,6.76
27.23551900000029,32200.0,6.76
27.255951000000096,32000.0,6.75
27.27638200000001,31300.0,6.75
27.29681400000027,30100.0,6.75
27.317246000000072,28900.0,6.75
27.337678000000324,28500.0,6.75
27.337678000000324,28500.0,6.75
27.358109000000237,29100.0,6.75
27.378541000000038,30300.0,6.75
27.398973000000296,31300.0,6.75
27.41940400000021,31700.0,6.75
27.43983600000001,31900.0,6.75
27.460268000000273,32000.0,6.75
27.480699000000186,32200.0,6.75
27.50113099999999,32200.0,6.75
27.521561999999903,32200.0,6.75
27.541994000000162,32100.0,6.75
27.562425999999963,31900.0,6.75
27.58285699999988,31700.0,6.75
27.603289000000128,31400.0,6.75
27.62372099999993,31100.0,6.75
27.644152000000304,29500.0,6.75
27.664584000000104,25100.0,6.75
27.685015999999905,19300.0,6.75
27.70544700000028,15800.0,6.75
27.725879000000077,18800.0,6.75
27.74631099999988,24700.0,6.75
27.76674200000025,29300.0,6.75
27.787174000000054,31200.0,6.75
27.807606000000305,31500.0,6.75
27.82803700000023,31800.0,6.75
27.848469000000023,32100.0,6.75
27.86890100000028,32300.0,6.75
27.889332000000195,32500.0,6.75
27.909764,32500.0,6.75
27.930196000000247,32400.0,6.75
27.95062700000017,32300.0,6.75
27.97105899999997,32200.0,6.75
27.991491000000227,32000.0,6.75
28.011922000000137,31600.0,6.75
28.03235399999994,30600.0,6.75
28.0527860000002,29300.0,6.75
28.073217000000113,28400.0,6.75
28.073217000000113,28400.0,6.75
28.093648999999914,28700.0,6.75
28.114081000000173,29800.0,6.75
28.13451200000009,31000.0,6.75
28.15494399999989,31800.0,6.75
28.175376000000142,32000.0,6.75
28.19580700000006,32200.0,6.75
28.216239000000314,32300.0,6.75
28.236671000000115,32400.0,6.75
28.25710200000003,32500.0,6.75
28.27753400000029,32400.0,6.75
28.29796600000009,32200.0,6.75
28.318397000000004,31900.0,6.75
28.338829000000263,31600.0,6.75
28.359261000000057,31400.0,6.75
28.379691999999977,30700.0,6.75
28.400124000000233,27400.0,6.75
28.420556000000033,21900.0,6.74
28.440986999999947,16600.0,6.74
28.461419000000205,16800.0,6.74
28.48185100000001,22100.0,6.74
28.502281999999923,27600.0,6.74
28.522714000000178,30700.0,6.74
28.543145999999982,31400.0,6.74
28.563576999999896,31700.0,6.74
28.584009000000147,32000.0,6.74
28.604440999999948,32200.0,6.74
28.624872000000323,32400.0,6.74
28.645304000000124,32400.0,6.74
28.665735999999924,32800.0,6.74
28.686167000000296,32300.0,6.74
28.706599000000097,32200.0,6.74
28.727030999999894,32000.0,6.74
28.747462000000272,31900.0,6.74
28.767894000000073,31100.0,6.74
28.788326000000325,29900.0,6.74
28.808757000000238,28700.0,6.74
28.82918900000004,28500.0,6.74
28.82918900000004,28500.0,6.74
28.992642000000163,32400.0,6.74
29.01307399999996,32400.0,6.74
29.033506000000216,32300.0,6.74
29.05393700000013,32100.0,6.74
29.07436899999993,31800.0,6.74
29.094800000000305,31500.0,6.74
29.115232000000105,31200.0,6.74
29.135663999999906,29100.0,6.74
29.15609500000028,24400.0,6.74
29.176527000000075,18500.0,6.74
29.196958999999882,15800.0,6.74
29.217390000000247,19600.0,6.74
29.23782200000005,25400.0,6.74
29.258254000000306,29600.0,6.74
29.27868600000011,31100.0,6.74
29.299117000000024,31400.0,6.74
29.319549000000283,31700.0,6.74
29.3399800000002,31900.0,6.74
29.360412,32100.0,6.74
29.38084400000025,32200.0,6.74
29.401275000000172,32100.0,6.74
29.421706999999966,32100.0,6.74
29.44213900000023,31900.0,6.74
29.462570000000138,31700.0,6.74
29.48300199999995,31500.0,6.74
29.5034340000002,31100.0,6.74
29.523865000000114,30000.0,6.74
29.544296999999915,28700.0,6.74
29.56472900000017,28000.0,6.74
29.56472900000017,28000.0,6.74
29.58516000000009,28400.0,6.74
29.60559199999989,29600.0,6.74
29.626024000000143,30800.0,6.74
29.646455000000056,31400.0,6.74
29.666887000000315,31600.0,6.73
29.68731900000012,31700.0,6.73
29.707750000000033,31900.0,6.73
29.72818200000029,31900.0,6.73
29.748614000000092,31500.0,6.73
29.76904500000001,31200.0,6.73
29.78947700000026,31000.0,6.73
29.809909000000058,30700.0,6.73
29.830339999999982,30500.0,6.73
29.850772000000234,30200.0,6.73
29.871204000000034,29400.0,6.73
29.891634999999948,25800.0,6.73
29.91206700000021,20400.0,6.73
29.93249900000001,15700.0,6.73
29.952929999999924,16900.0,6.73
29.973362000000183,22400.0,6.73
29.99379399999998,27500.0,6.73
30.014224999999897,30200.0,6.73
30.03465700000015,30700.0,6.73
30.055088999999953,30900.0,6.73
30.075520000000324,31100.0,6.73
30.095952000000125,31300.0,6.73
30.116383999999925,31400.0,6.73
30.136815000000297,31300.0,6.73
30.157247000000094,31200.0,6.73
30.17767800000001,31100.0,6.73
30.198110000000273,30900.0,6.73
30.21854200000007,30600.0,6.73
30.23897299999999,30400.0,6.73
30.25940500000025,29500.0,6.73
30.279837000000047,28300.0,6.73
30.300269000000302,27100.0,6.73
30.32070000000021,27000.0,6.73
3.452987000000121,25200.0,6.88
3.5142820000000934,27600.0,6.88
3.5347139999998944,27900.0,6.88
3.55514600000015,29000.0,6.88
3.5755779999999504,30100.0,6.88
3.5960100000002058,30600.0,6.88
3.6164420000000064,30700.0,6.88
3.6368740000002617,30900.0,6.88
3.6573060000000623,31000.0,6.88
3.6777369999999787,31100.0,6.88
3.6981690000002345,31100.0,6.88
3.718601000000035,30900.0,6.88
3.7390330000002905,30700.0,6.88
3.759465000000091,30400.0,6.88
3.779896999999892,30100.0,6.88
3.8003280000002633,29700.0,6.87
3.820760000000064,28800.0,6.87
3.9842149999999488,30000.0,6.87
4.065943000000061,31400.0,6.87
4.086373999999978,31600.0,6.87
4.106806000000233,31600.0,6.87
4.127238000000034,31600.0,6.87
4.147670000000288,31500.0,6.87
4.16810200000009,31400.0,6.87
4.1885339999998905,31100.0,6.87
4.208965000000262,30200.0,6.87
4.229397000000064,28900.0,6.87
4.249829000000318,27700.0,6.86
4.270261000000119,27500.0,6.86
30.32070000000021,27000.0,6.73
30.341132000000016,27900.0,6.73
30.36156400000027,29000.0,6.73
30.38199500000019,29800.0,6.73
30.40242699999999,30100.0,6.73
30.422859000000248,30300.0,6.73
30.44329000000016,30500.0,6.73
30.46372199999996,30600.0,6.73
30.484154000000213,30700.0,6.73
30.50458500000013,30600.0,6.73
30.525016999999927,30300.0,6.73
30.54544900000019,29900.0,6.73
30.56588000000011,29500.0,6.73
30.58631199999991,29100.0,6.73
30.606743000000282,28700.0,6.73
30.627175000000076,26400.0,6.73
30.64760699999988,21700.0,6.73
30.668038000000248,16400.0,6.72
30.70890200000031,20400.0,6.72
30.729333000000228,26200.0,6.72
30.749765000000025,30200.0,6.72
30.77019700000028,31400.0,6.72
30.7906280000002,31700.0,6.72
30.974513000000115,31500.0,6.72
30.994944999999923,30900.0,6.72
31.01537700000017,29800.0,6.72
31.03580800000009,28500.0,6.72
31.05623999999989,28000.0,6.72
31.05623999999989,28000.0,6.72
31.076672000000144,28500.0,6.72
31.097103000000057,29800.0,6.72
31.11753500000032,30800.0,6.72
31.13796700000012,31400.0,6.72
31.158398000000034,31500.0,6.72
31.17883000000029,31600.0,6.72
31.19926200000009,31700.0,6.72
31.21969300000001,31800.0,6.72
31.240125000000265,31800.0,6.72
31.260557000000066,31700.0,6.72
31.28098799999998,31500.0,6.72
31.301420000000235,31200.0,6.72
31.321852000000032,30900.0,6.72
31.34228299999995,30600.0,6.72
31.36271500000021,29400.0,6.72
31.383147000000008,25400.0,6.72
31.403577999999925,19800.0,6.72
31.42401000000018,15600.0,6.72
31.444441000000097,17600.0,6.72
31.464872999999894,23200.0,6.72
31.485305000000157,28000.0,6.72
31.505736999999954,30200.0,6.72
31.526168000000325,30500.0,6.72
31.54660000000013,30700.0,6.72
31.56703199999993,31000.0,6.72
31.587463000000294,31200.0,6.72
31.6078950000001,31300.0,6.72
31.62832600000001,31200.0,6.72
31.64875800000027,31100.0,6.72
31.66919000000007,30900.0,6.72
31.689620999999992,30700.0,6.72
31.710053000000247,30500.0,6.72
31.730485000000048,30100.0,6.72
31.75091599999996,29100.0,6.72
31.771348000000213,27800.0,6.72
31.791780000000013,26800.0,6.72
31.791780000000013,26800.0,6.72
31.812210999999927,26800.0,6.71
31.83264300000019,27700.0,6.71
31.85307499999999,28700.0,6.71
31.87350599999991,29300.0,6.71
31.893938000000162,29300.0,6.71
31.93480099999988,32400.0,6.71
31.955233000000128,32600.0,6.71
31.97566499999993,32600.0,6.71
31.99609600000031,32600.0,6.71
32.01652800000011,32400.0,6.71
32.03695999999991,32200.0,6.71
32.05739100000028,31900.0,6.71
32.07782300000007,31600.0,6.71
32.09825499999988,31100.0,6.71
32.118686000000245,28200.0,6.71
32.13911800000005,22800.0,6.71
32.15955000000031,17200.0,6.71
32.17998100000023,16300.0,6.71
32.200413000000026,21200.0,6.71
32.22084399999994,26700.0,6.71
32.2412760000002,30200.0,6.71
32.261708,31000.0,6.71
32.28213899999992,31200.0,6.71
32.30257100000017,31500.0,6.71
32.323002999999964,31500.0,6.71
32.34343500000023,31600.0,6.71
32.363866000000144,31400.0,6.71
32.384297999999944,31300.0,6.71
32.4047300000002,30900.0,6.71
32.42516100000012,30500.0,6.71
32.445592999999924,30100.0,6.71
32.46602500000017,29700.0,6.71
32.48645600000009,28800.0,6.71
32.50688799999989,27500.0,6.71
