2749.589793,3.08E+04,7.00E+00
2749.610225,3.06E+04,7.00E+00
2749.630657,3.03E+04,7.00E+00
2749.651089,2.99E+04,6.99E+00
2749.671521,2.95E+04,6.99E+00
2749.691952,2.91E+04,6.99E+00
2749.712384,2.78E+04,6.99E+00
2749.732816,2.40E+04,6.99E+00
2749.753248,1.86E+04,6.99E+00
2749.916703,3.09E+04,6.98E+00
2749.937135,3.11E+04,6.98E+00
2749.957567,3.12E+04,6.98E+00
2749.977999,3.13E+04,6.98E+00
2749.998431,3.12E+04,6.98E+00
2750.018863,3.11E+04,6.97E+00
2750.039295,3.09E+04,6.97E+00
2750.059727,3.07E+04,6.96E+00
2750.080158,3.04E+04,6.96E+00
2750.10059,2.95E+04,6.96E+00
2750.121022,2.82E+04,6.96E+00
2750.141454,2.73E+04,6.96E+00
2750.161886,2.73E+04,6.96E+00
2750.182318,2.82E+04,6.95E+00
2750.20275,2.93E+04,6.95E+00
2750.223182,3.00E+04,6.95E+00
2750.243614,3.01E+04,6.95E+00
2750.264046,3.01E+04,6.95E+00
2750.284477,3.02E+04,6.95E+00
2750.304909,3.02E+04,6.95E+00
2750.325341,3.01E+04,6.95E+00
2750.345773,2.99E+04,6.95E+00
2750.366205,2.95E+04,6.95E+00
2750.386637,2.91E+04,6.95E+00
2750.407069,2.86E+04,6.95E+00
2750.427501,2.82E+04,6.95E+00
2750.447933,2.76E+04,6.94E+00
2750.468364,2.49E+04,6.94E+00
2750.488796,2.01E+04,6.94E+00
2750.652251,3.05E+04,6.94E+00
2750.672683,3.08E+04,6.94E+00
2750.693115,3.11E+04,6.94E+00
2750.713547,3.12E+04,6.94E+00
2750.733979,3.13E+04,6.94E+00
2750.754411,3.12E+04,6.94E+00
2750.774843,3.11E+04,6.94E+00
2750.795275,3.10E+04,6.94E+00
2750.815706,3.08E+04,6.94E+00
2750.836138,3.01E+04,6.94E+00
2750.85657,2.90E+04,6.93E+00
2750.877002,2.78E+04,6.93E+00
2750.897434,2.73E+04,6.93E+00
2750.917866,2.79E+04,6.93E+00
2750.938298,2.90E+04,6.93E+00
2750.95873,3.00E+04,6.93E+00
2750.979161,3.04E+04,6.93E+00
2751.142617,3.04E+04,6.93E+00
2751.163048,3.02E+04,6.93E+00
2751.18348,3.00E+04,6.93E+00
2751.203912,2.85E+04,6.93E+00
