JDtimes,observed fluxes,observed uncertainties
59.59889199999998,795.605482,17.8370767
59.599572999999964,818.321506,17.8065112
59.60025399999995,865.591819,17.74553826
59.600934999999936,873.557009,17.73559299
59.60161599999992,916.259559,17.68377482
59.60229699999991,934.582831,17.66227662
59.602977999999894,885.655002,17.72065967
59.60365899999988,895.001716,17.70926145
59.604339999999866,877.084429,17.73121761
59.60502099999985,882.737234,17.7242425
59.60570199999984,851.631864,17.76319136
59.60638299999982,823.803849,17.79926158
59.60706399999981,831.549476,17.78910088
59.607744999999795,807.105163,17.8214958
59.60842599999978,855.546177,17.75821248
59.60910699999977,901.479168,17.70143188
59.60978900000009,905.300954,17.69683867
59.61047000000008,936.035012,17.66059088
59.61115100000006,886.232307,17.71995217
59.61183200000005,906.690087,17.69517395
59.612513000000035,906.844884,17.6949886
59.61319400000002,933.288118,17.66378178
59.61387500000001,908.028945,17.69357189
59.61455599999999,900.397726,17.70273514
59.61523699999998,908.743752,17.69271752
59.615917999999965,921.83794,17.67718467
59.61659899999995,922.02881,17.67695989
59.61727999999994,892.148145,17.71272868
59.61796099999992,904.017912,17.69837853
59.61864199999991,936.899102,17.65958906
59.619322999999895,924.318287,17.67426725
59.62000399999988,880.014553,17.72759648
59.62068499999987,922.697466,17.6761728
59.621366999999736,910.295522,17.6908651
59.62204800000018,931.860319,17.66544407
59.62272900000016,891.705332,17.71326771
59.62341000000015,923.97608,17.6746693
59.624091000000135,881.63958,17.72559342
59.62477200000012,907.679511,17.69398979
59.62545300000011,891.585373,17.71341378
59.62613400000009,903.909534,17.6985087
59.62681500000008,915.124475,17.68512069
59.627496000000065,853.497342,17.76081568
59.62817700000005,896.708962,17.70719234
59.62885800000004,881.024514,17.72635114
59.62953900000002,911.424959,17.68951882
59.63022000000001,876.454222,17.73199802
59.630900999999994,936.407794,17.66015857
59.63158199999998,903.423495,17.69909267
59.632262999999966,926.169348,17.67209511
59.63294399999995,923.915981,17.67473992
59.63362499999994,915.231115,17.68499418
59.634305999999924,892.687255,17.71207278
59.63498699999991,910.817762,17.69024239
59.635667999999896,899.175038,17.70421051
59.636349999999766,944.799476,17.65047201
59.63703099999975,900.076714,17.7031223
59.63771199999974,911.405393,17.68954213
59.63839300000018,922.362841,17.67656662
59.639074000000164,891.734769,17.71323187
59.63975500000015,922.813173,17.67603665
59.640436000000136,888.012363,17.71777359
59.64111700000012,896.808565,17.70707175
59.64179800000011,898.439967,17.70509846
59.642479000000094,906.273902,17.69567243
59.64316000000008,883.486679,17.7233211
59.643841000000066,870.034803,17.73997955
59.64452200000005,955.111778,17.63868562
59.64520300000004,891.195896,17.71388817
59.645884000000024,829.531345,17.79173912
59.64656500000001,903.57458,17.69891111
59.647245999999996,909.691055,17.69158631
59.64792699999998,836.068116,17.78321696
59.64860799999997,817.942648,17.80701398
59.64928999999984,892.818568,17.71191308
59.64997099999982,910.872616,17.690177
59.65065199999981,924.499973,17.67405386
59.651332999999795,4087.359687,16.06021397
59.65201399999978,909.634912,17.69165332
59.65269499999977,869.762242,17.74031974
59.65337599999975,870.207637,17.73976389
59.65405699999974,901.428646,17.70149273
59.65473800000018,838.180716,17.78047696
59.655419000000165,883.000114,17.72391922
59.65610000000015,871.787924,17.73779399
59.65678100000014,866.592029,17.74428439
59.65746200000012,945.245938,17.64995907
59.65814300000011,889.588689,17.71584799
59.658824000000095,889.398499,17.71608014
59.65950500000008,882.066313,17.72506803
59.66018600000007,914.012063,17.6864413
59.66086700000005,870.10799,17.73988823
59.66154800000004,863.600136,17.74803936
59.662229000000025,884.813248,17.72169208
59.662910999999895,876.892801,17.73145486
59.66359199999988,841.219197,17.77654818
59.664272999999866,888.551817,17.71711422
59.66495399999985,871.996566,17.73753418
59.66563499999984,879.404428,17.7283495
59.666315999999824,879.613998,17.72809079
59.66699699999981,945.199336,17.6500126
59.667677999999796,887.836758,17.71798831
59.66835899999978,886.95645,17.71906538
59.66903999999977,892.799634,17.71193611
59.669720999999754,889.532055,17.71591711
59.67040199999974,916.229156,17.68381085
59.67108300000018,892.801646,17.71193366
59.67176400000017,932.754508,17.66440273
59.67244500000015,937.037147,17.6594291
59.67312600000014,904.057224,17.69833132
59.673807000000124,940.861731,17.65500661
59.67448800000011,895.000146,17.70926335
59.675169000000096,857.977811,17.75513098
59.675850999999966,914.06544,17.6863779
59.67653199999995,932.267198,17.66497011
59.67721299999994,958.80665,17.63449352
59.677893999999924,939.05595,17.65709245
59.67857499999991,959.313247,17.63392001
59.679255999999896,945.948167,17.64915277
59.67993699999988,989.028022,17.60079963
59.68061799999987,965.758768,17.62664947
59.68129899999985,937.662132,17.65870517
59.68197999999984,960.304208,17.63279904
59.682660999999825,974.515695,17.61684902
59.68334199999981,961.551889,17.6313893
59.6840229999998,909.148297,17.69223429
59.68470399999978,932.760815,17.66439538
59.68538499999977,947.917692,17.64689454
59.686065999999755,905.925259,17.6960902
59.68674699999974,916.254844,17.68378041
59.68742800000018,928.161615,17.66976211
59.68810900000017,958.968666,17.63431008
59.688790000000154,949.77538,17.64476885
59.68947200000002,924.314521,17.67427168
59.69015300000001,916.69153,17.68326307
59.690833999999995,936.008096,17.6606221
59.69151499999998,936.977889,17.65949776
59.69219599999997,969.18004,17.62280996
59.69287699999995,973.094542,17.61843353
59.69355799999994,989.469552,17.60031503
59.694238999999925,985.273824,17.60492876
59.69491999999991,939.619839,17.65644067
59.6956009999999,989.72651,17.60003311
59.69628199999988,941.596157,17.65415942
59.69696299999987,943.6315,17.65181504
59.697643999999855,951.247351,17.64308747
