JDtimes,observed fluxes,observed uncertainties
27.337678000000324,28500.0,6.75
27.35810900000024,29100.0,6.75
27.37854100000004,30300.0,6.75
27.398973000000296,31300.0,6.75
27.419404000000213,31700.0,6.75
27.439836000000014,31900.0,6.75
27.46026800000027,32000.0,6.75
27.480699000000186,32200.0,6.75
27.501130999999987,32200.0,6.75
27.521561999999903,32200.0,6.75
27.54199400000016,32100.0,6.75
27.56242599999996,31900.0,6.75
27.582856999999876,31700.0,6.75
27.60328900000013,31400.0,6.75
27.623720999999932,31100.0,6.75
27.644152000000304,29500.0,6.75
27.664584000000104,25100.0,6.75
27.685015999999905,19300.0,6.75
27.705447000000277,15800.0,6.75
27.725879000000077,18800.0,6.75
27.746310999999878,24700.0,6.75
27.76674200000025,29300.0,6.75
27.78717400000005,31200.0,6.75
27.807606000000305,31500.0,6.75
27.828037000000222,31800.0,6.75
27.848469000000023,32100.0,6.75
27.868901000000278,32300.0,6.75
27.889332000000195,32500.0,6.75
27.909763999999996,32500.0,6.75
27.93019600000025,32400.0,6.75
27.950627000000168,32300.0,6.75
27.97105899999997,32200.0,6.75
27.991491000000224,32000.0,6.75
28.01192200000014,31600.0,6.75
28.03235399999994,30600.0,6.75
28.052786000000197,29300.0,6.75
28.073217000000113,28400.0,6.75
