JDtimes,observed fluxes,observed uncertainties
42.559270000000204,22000.0,6.63
42.722724000000206,32300.0,6.63
42.743156,32500.0,6.63
42.76358699999992,32600.0,6.63
42.78401900000017,32500.0,6.63
42.804450999999965,32400.0,6.63
42.9679040000001,28300.0,6.62
42.9883359999999,29300.0,6.62
43.00876800000015,30800.0,6.62
43.02919900000007,32000.0,6.62
43.049631000000325,32600.0,6.62
43.07006300000011,32700.0,6.62
43.090494000000035,32900.0,6.62
43.11092600000028,32900.0,6.62
43.1313580000001,32800.0,6.62
43.15178900000001,32600.0,6.62
43.172221000000256,32200.0,6.62
43.192653000000064,31700.0,6.62
43.213085000000326,31100.0,6.62
43.233516000000236,30600.0,6.62
43.25394800000004,29900.0,6.62
43.274380000000285,28000.0,6.62
43.29481100000021,23600.0,6.62
43.29481100000021,23600.0,6.62
43.45826500000021,31400.0,6.62
43.47869700000001,31200.0,6.62
43.499127999999935,31200.0,6.62
43.51956000000018,31000.0,6.62
43.539991999999984,30600.0,6.62
43.7034450000001,28900.0,6.62
43.723876999999895,29300.0,6.62
43.74430900000015,30500.0,6.62
43.764740000000074,31700.0,6.62
43.78517199999988,32300.0,6.62
43.80560400000013,32300.0,6.62
43.82603500000005,32200.0,6.62
43.846467000000295,31900.0,6.62
43.8668990000001,31600.0,6.62
43.887330999999904,31200.0,6.62
43.907762000000275,30500.0,6.62
43.907762000000275,30500.0,6.62
43.948625999999884,32600.0,6.62
43.96905700000025,32400.0,6.62
43.98948900000005,32100.0,6.62
44.009921000000304,31300.0,6.62
44.03035200000022,27700.0,6.62
44.05078400000002,22000.0,6.62
44.07121600000028,16500.0,6.61
44.09164800000008,16500.0,6.61
44.112079,21400.0,6.61
44.19380600000022,32100.0,6.61
44.214238000000016,32500.0,6.61
44.23466899999993,32700.0,6.61
44.2551010000002,32700.0,6.61
44.275533,32500.0,6.61
44.438987,28500.0,6.61
44.45941799999992,28000.0,6.61
44.45941799999992,28000.0,6.61
44.47985000000017,28300.0,6.61
44.50028199999997,29200.0,6.61
44.520712999999894,29600.0,6.61
44.54114500000014,29300.0,6.61
44.561576999999936,28800.0,6.61
44.58200800000032,27700.0,6.61
44.602440000000115,26700.0,6.61
44.684166999999896,32200.0,6.61
44.70459900000015,32000.0,6.61
44.72503000000007,31800.0,6.61
44.74546200000032,31700.0,6.61
44.76589400000012,29800.0,6.61
44.786325000000026,25000.0,6.61
44.80675700000029,19000.0,6.61
44.8271890000001,16200.0,6.61
44.8271890000001,16200.0,6.61
44.8476209999999,20000.0,6.61
44.868052000000255,25800.0,6.61
44.88848400000007,30000.0,6.61
44.908916000000325,31300.0,6.61
44.92934700000024,31300.0,6.61
44.949779000000035,31200.0,6.61
44.97021100000028,31200.0,6.6
44.9906430000001,31000.0,6.6
45.01107400000001,30700.0,6.6
45.031506000000256,30400.0,6.6
45.17452800000001,29200.0,6.6
45.25625500000024,31600.0,6.6
45.41970799999989,32900.0,6.6
45.440140000000156,32700.0,6.6
45.460571999999964,32400.0,6.6
45.481002999999866,32000.0,6.6
45.501435000000136,30800.0,6.6
45.521866999999936,26700.0,6.6
45.521866999999936,26700.0,6.6
45.66488900000013,31900.0,6.6
45.68532099999993,31900.0,6.6
45.705752000000295,32000.0,6.6
45.7261840000001,31700.0,6.6
45.7466159999999,31500.0,6.6
45.91006900000002,29800.0,6.6
45.93050100000028,28900.0,6.6
45.95093300000008,28900.0,6.6
45.971364999999885,29800.0,6.6
45.99179600000025,30800.0,6.6
46.01222800000005,31500.0,6.6
46.03266000000031,31400.0,6.6
46.05309100000022,31100.0,6.6
46.073523000000016,31000.0,6.6
46.09395500000028,30500.0,6.6
46.11438700000008,30100.0,6.6
46.11438700000008,30100.0,6.6
46.15525000000025,32500.0,6.6
46.175682000000045,32500.0,6.6
46.19611299999997,32500.0,6.6
46.21654500000022,32200.0,6.6
46.23697700000002,31600.0,6.6
46.25740900000028,28800.0,6.6
46.277840000000204,23500.0,6.6
46.298272,17500.0,6.6
46.318704000000245,15600.0,6.59
46.40043100000002,32200.0,6.59
46.420861999999936,32400.0,6.59
46.4412940000002,32600.0,6.59
46.461726,32500.0,6.59
46.48215699999992,32400.0,6.59
46.6047480000002,27500.0,6.59
46.66604300000017,27600.0,6.59
46.68647499999997,26900.0,6.59
